schema_id,table_name,table_name_original,primary_key,column_list,column_list_original,column_datatypes,foreign_keys
perpetrator,perpetrator,perpetrator,Perpetrator_ID,"['perpetrator id', 'people id', 'date', 'year', 'location', 'country', 'killed', 'injured']","['Perpetrator_ID', 'People_ID', 'Date', 'Year', 'Location', 'Country', 'Killed', 'Injured']","['number', 'number', 'text', 'number', 'text', 'text', 'number', 'number']",[]
perpetrator,people,people,People_ID,"['people id', 'name', 'height', 'weight', 'home town']","['People_ID', 'Name', 'Height', 'Weight', 'Home Town']","['number', 'text', 'number', 'number', 'text']","[['perpetrator', 'People_ID', 'people', 'People_ID']]"
college_2,classroom,classroom,building,"['building', 'room number', 'capacity']","['building', 'room_number', 'capacity']","['text', 'text', 'number']","[['section', 'building', 'classroom', 'building']]"
college_2,department,department,dept_name,"['department name', 'building', 'budget']","['dept_name', 'building', 'budget']","['text', 'text', 'number']","[['course', 'dept_name', 'department', 'dept_name'], ['instructor', 'dept_name', 'department', 'dept_name'], ['student', 'dept_name', 'department', 'dept_name']]"
college_2,course,course,course_id,"['course id', 'title', 'department name', 'credits']","['course_id', 'title', 'dept_name', 'credits']","['text', 'text', 'text', 'number']","[['section', 'course_id', 'course', 'course_id'], ['teaches', 'course_id', 'section', 'course_id'], ['takes classes', 'course_id', 'section', 'course_id'], ['prerequisite', 'prereq_id', 'course', 'course_id'], ['prerequisite', 'course_id', 'course', 'course_id']]"
college_2,instructor,instructor,ID,"['id', 'name', 'department name', 'salary']","['ID', 'name', 'dept_name', 'salary']","['text', 'text', 'text', 'number']","[['teaches', 'ID', 'instructor', 'ID'], ['takes classes', 'ID', 'student', 'ID'], ['advisor', 's_ID', 'student', 'ID'], ['advisor', 'i_ID', 'instructor', 'ID']]"
college_2,section,section,course_id,"['course id', 'section id', 'semester', 'year', 'building', 'room number', 'time slot id']","['course_id', 'sec_id', 'semester', 'year', 'building', 'room_number', 'time_slot_id']","['text', 'text', 'text', 'number', 'text', 'text', 'text']","[['section', 'course_id', 'course', 'course_id'], ['teaches', 'course_id', 'section', 'course_id'], ['takes classes', 'course_id', 'section', 'course_id'], ['prerequisite', 'prereq_id', 'course', 'course_id'], ['prerequisite', 'course_id', 'course', 'course_id']]"
college_2,teaches,teaches,ID,"['id', 'course id', 'section id', 'semester', 'year']","['ID', 'course_id', 'sec_id', 'semester', 'year']","['text', 'text', 'text', 'text', 'number']","[['teaches', 'ID', 'instructor', 'ID'], ['takes classes', 'ID', 'student', 'ID'], ['advisor', 's_ID', 'student', 'ID'], ['advisor', 'i_ID', 'instructor', 'ID']]"
college_2,student,student,ID,"['id', 'name', 'department name', 'total credits']","['ID', 'name', 'dept_name', 'tot_cred']","['text', 'text', 'text', 'number']","[['teaches', 'ID', 'instructor', 'ID'], ['takes classes', 'ID', 'student', 'ID'], ['advisor', 's_ID', 'student', 'ID'], ['advisor', 'i_ID', 'instructor', 'ID']]"
college_2,takes classes,takes,ID,"['id', 'course id', 'section id', 'semester', 'year', 'grade']","['ID', 'course_id', 'sec_id', 'semester', 'year', 'grade']","['text', 'text', 'text', 'text', 'number', 'text']","[['teaches', 'ID', 'instructor', 'ID'], ['takes classes', 'ID', 'student', 'ID'], ['advisor', 's_ID', 'student', 'ID'], ['advisor', 'i_ID', 'instructor', 'ID']]"
college_2,advisor,advisor,s_ID,"['student id', 'instructor id']","['s_ID', 'i_ID']","['text', 'text']","[['advisor', 's_ID', 'student', 'ID']]"
college_2,time slot,time_slot,time_slot_id,"['time slot id', 'day', 'start hour', 'start minute', 'end hour', 'end minute']","['time_slot_id', 'day', 'start_hr', 'start_min', 'end_hr', 'end_min']","['text', 'text', 'number', 'number', 'number', 'number']",[]
college_2,prerequisite,prereq,course_id,"['course id', 'prerequisite id']","['course_id', 'prereq_id']","['text', 'text']","[['section', 'course_id', 'course', 'course_id'], ['teaches', 'course_id', 'section', 'course_id'], ['takes classes', 'course_id', 'section', 'course_id'], ['prerequisite', 'prereq_id', 'course', 'course_id'], ['prerequisite', 'course_id', 'course', 'course_id']]"
flight_company,airport,airport,id,"['id', 'city', 'country', 'iata', 'icao', 'name']","['id', 'City', 'Country', 'IATA', 'ICAO', 'name']","['number', 'text', 'text', 'text', 'text', 'text']","[['flight', 'company_id', 'operate company', 'id'], ['flight', 'airport_id', 'airport', 'id']]"
flight_company,operate company,operate_company,id,"['id', 'name', 'type', 'principal activities', 'incorporated in', 'group equity shareholding']","['id', 'name', 'Type', 'Principal_activities', 'Incorporated_in', 'Group_Equity_Shareholding']","['number', 'text', 'text', 'text', 'text', 'number']","[['flight', 'company_id', 'operate company', 'id'], ['flight', 'airport_id', 'airport', 'id']]"
flight_company,flight,flight,id,"['id', 'vehicle flight number', 'date', 'pilot', 'velocity', 'altitude', 'airport id', 'company id']","['id', 'Vehicle_Flight_number', 'Date', 'Pilot', 'Velocity', 'Altitude', 'airport_id', 'company_id']","['number', 'text', 'text', 'text', 'number', 'number', 'number', 'number']","[['flight', 'company_id', 'operate company', 'id'], ['flight', 'airport_id', 'airport', 'id']]"
icfp_1,institution,Inst,instID,"['institution id', 'name', 'country']","['instID', 'name', 'country']","['number', 'text', 'text']","[['authorship count', 'instID', 'institution', 'instID']]"
icfp_1,authors,Authors,authID,"['author id', 'last name', 'first name']","['authID', 'lname', 'fname']","['number', 'text', 'text']","[['authorship count', 'authID', 'authors', 'authID']]"
icfp_1,papers,Papers,paperID,"['paper id', 'title']","['paperID', 'title']","['number', 'text']","[['authorship count', 'paperID', 'papers', 'paperID']]"
icfp_1,authorship count,Authorship,authID,"['author id', 'institution id', 'paper id', 'author count']","['authID', 'instID', 'paperID', 'authOrder']","['number', 'number', 'number', 'number']","[['authorship count', 'authID', 'authors', 'authID']]"
body_builder,body builder,body_builder,Body_Builder_ID,"['body builder id', 'people id', 'snatch', 'clean jerk', 'total']","['Body_Builder_ID', 'People_ID', 'Snatch', 'Clean_Jerk', 'Total']","['number', 'number', 'number', 'number', 'number']",[]
body_builder,people,people,People_ID,"['people id', 'name', 'height', 'weight', 'birth date', 'birth place']","['People_ID', 'Name', 'Height', 'Weight', 'Birth_Date', 'Birth_Place']","['number', 'text', 'number', 'number', 'text', 'text']","[['body builder', 'People_ID', 'people', 'People_ID']]"
storm_record,storm,storm,Storm_ID,"['storm id', 'name', 'dates active', 'max speed', 'damage millions usd', 'number deaths']","['Storm_ID', 'Name', 'Dates_active', 'Max_speed', 'Damage_millions_USD', 'Number_Deaths']","['number', 'text', 'text', 'number', 'number', 'number']","[['affected region', 'Storm_ID', 'storm', 'Storm_ID']]"
storm_record,region,region,Region_id,"['region id', 'region code', 'region name']","['Region_id', 'Region_code', 'Region_name']","['number', 'text', 'text']","[['affected region', 'Region_id', 'region', 'Region_id']]"
storm_record,affected region,affected_region,Region_id,"['region id', 'storm id', 'number city affected']","['Region_id', 'Storm_ID', 'Number_city_affected']","['number', 'number', 'number']","[['affected region', 'Region_id', 'region', 'Region_id']]"
pilot_record,aircraft,aircraft,Aircraft_ID,"['aircraft id', 'order year', 'manufacturer', 'model', 'fleet series', 'powertrain', 'fuel propulsion']","['Aircraft_ID', 'Order_Year', 'Manufacturer', 'Model', 'Fleet_Series', 'Powertrain', 'Fuel_Propulsion']","['number', 'number', 'text', 'text', 'text', 'text', 'text']","[['pilot record', 'Aircraft_ID', 'aircraft', 'Aircraft_ID']]"
pilot_record,pilot,pilot,Pilot_ID,"['pilot id', 'pilot name', 'rank', 'age', 'nationality', 'position', 'join year', 'team']","['Pilot_ID', 'Pilot_name', 'Rank', 'Age', 'Nationality', 'Position', 'Join_Year', 'Team']","['number', 'text', 'number', 'number', 'text', 'text', 'number', 'text']","[['pilot record', 'Pilot_ID', 'pilot', 'Pilot_ID']]"
pilot_record,pilot record,pilot_record,Pilot_ID,"['record id', 'pilot id', 'aircraft id', 'date']","['Record_ID', 'Pilot_ID', 'Aircraft_ID', 'Date']","['number', 'number', 'number', 'text']","[['pilot record', 'Pilot_ID', 'pilot', 'Pilot_ID']]"
race_track,race,race,Race_ID,"['race id', 'name', 'class', 'date', 'track id']","['Race_ID', 'Name', 'Class', 'Date', 'Track_ID']","['number', 'text', 'text', 'text', 'text']",[]
race_track,track,track,Track_ID,"['track id', 'name', 'location', 'seating', 'year opened']","['Track_ID', 'Name', 'Location', 'Seating', 'Year_Opened']","['number', 'text', 'text', 'number', 'number']","[['race', 'Track_ID', 'track', 'Track_ID']]"
academic,author,author,aid,"['aid', 'homepage', 'name', 'oid']","['aid', 'homepage', 'name', 'oid']","['number', 'text', 'text', 'number']","[['domain author', 'aid', 'author', 'aid'], ['writes', 'aid', 'author', 'aid']]"
academic,conference,conference,cid,"['cid', 'homepage', 'name']","['cid', 'homepage', 'name']","['number', 'text', 'text']","[['domain conference', 'cid', 'conference', 'cid'], ['publication', 'cid', 'conference', 'cid']]"
academic,domain,domain,did,"['did', 'name']","['did', 'name']","['number', 'text']","[['domain author', 'did', 'domain', 'did'], ['domain conference', 'did', 'domain', 'did'], ['domain journal', 'did', 'domain', 'did'], ['domain keyword', 'did', 'domain', 'did'], ['domain publication', 'did', 'domain', 'did']]"
academic,domain author,domain_author,did,"['aid', 'did']","['aid', 'did']","['number', 'number']","[['domain author', 'did', 'domain', 'did'], ['domain conference', 'did', 'domain', 'did'], ['domain journal', 'did', 'domain', 'did'], ['domain keyword', 'did', 'domain', 'did'], ['domain publication', 'did', 'domain', 'did']]"
academic,domain conference,domain_conference,did,"['cid', 'did']","['cid', 'did']","['number', 'number']","[['domain author', 'did', 'domain', 'did'], ['domain conference', 'did', 'domain', 'did'], ['domain journal', 'did', 'domain', 'did'], ['domain keyword', 'did', 'domain', 'did'], ['domain publication', 'did', 'domain', 'did']]"
academic,journal,journal,jid,"['homepage', 'jid', 'name']","['homepage', 'jid', 'name']","['text', 'number', 'text']","[['domain journal', 'jid', 'journal', 'jid'], ['publication', 'jid', 'journal', 'jid']]"
academic,domain journal,domain_journal,did,"['did', 'jid']","['did', 'jid']","['number', 'number']","[['domain author', 'did', 'domain', 'did'], ['domain conference', 'did', 'domain', 'did'], ['domain journal', 'did', 'domain', 'did'], ['domain keyword', 'did', 'domain', 'did'], ['domain publication', 'did', 'domain', 'did']]"
academic,keyword,keyword,kid,"['keyword', 'kid']","['keyword', 'kid']","['text', 'number']","[['domain keyword', 'kid', 'keyword', 'kid'], ['publication keyword', 'kid', 'keyword', 'kid']]"
academic,domain keyword,domain_keyword,did,"['did', 'kid']","['did', 'kid']","['number', 'number']","[['domain author', 'did', 'domain', 'did'], ['domain conference', 'did', 'domain', 'did'], ['domain journal', 'did', 'domain', 'did'], ['domain keyword', 'did', 'domain', 'did'], ['domain publication', 'did', 'domain', 'did']]"
academic,publication,publication,pid,"['abstract', 'cid', 'citation num', 'jid', 'pid', 'reference num', 'title', 'year']","['abstract', 'cid', 'citation_num', 'jid', 'pid', 'reference_num', 'title', 'year']","['text', 'text', 'number', 'number', 'number', 'number', 'text', 'number']","[['domain publication', 'pid', 'publication', 'pid'], ['publication keyword', 'pid', 'publication', 'pid'], ['writes', 'pid', 'publication', 'pid'], ['cite', 'citing', 'publication', 'pid'], ['cite', 'cited', 'publication', 'pid']]"
academic,domain publication,domain_publication,did,"['did', 'pid']","['did', 'pid']","['number', 'number']","[['domain author', 'did', 'domain', 'did'], ['domain conference', 'did', 'domain', 'did'], ['domain journal', 'did', 'domain', 'did'], ['domain keyword', 'did', 'domain', 'did'], ['domain publication', 'did', 'domain', 'did']]"
academic,organization,organization,oid,"['continent', 'homepage', 'name', 'oid']","['continent', 'homepage', 'name', 'oid']","['text', 'text', 'text', 'number']",[]
academic,publication keyword,publication_keyword,kid,"['pid', 'kid']","['pid', 'kid']","['number', 'number']","[['domain keyword', 'kid', 'keyword', 'kid'], ['publication keyword', 'kid', 'keyword', 'kid']]"
academic,writes,writes,aid,"['aid', 'pid']","['aid', 'pid']","['number', 'number']","[['domain author', 'aid', 'author', 'aid'], ['writes', 'aid', 'author', 'aid']]"
academic,cite,cite,NO_PRIMARY_KEY,"['cited', 'citing']","['cited', 'citing']","['number', 'number']","[['domain author', 'aid', 'author', 'aid'], ['writes', 'aid', 'author', 'aid']]"
department_store,addresses,Addresses,address_id,"['address id', 'address details']","['address_id', 'address_details']","['number', 'text']","[['supplier addresses', 'address_id', 'addresses', 'address_id'], ['customer addresses', 'address_id', 'addresses', 'address_id']]"
department_store,staff,Staff,staff_id,"['staff id', 'staff gender', 'staff name']","['staff_id', 'staff_gender', 'staff_name']","['number', 'text', 'text']","[['staff department assignments', 'staff_id', 'staff', 'staff_id']]"
department_store,suppliers,Suppliers,supplier_id,"['supplier id', 'supplier name', 'supplier phone']","['supplier_id', 'supplier_name', 'supplier_phone']","['number', 'text', 'text']","[['supplier addresses', 'supplier_id', 'suppliers', 'supplier_id'], ['product suppliers', 'supplier_id', 'suppliers', 'supplier_id']]"
department_store,department store chain,Department_Store_Chain,dept_store_chain_id,"['department store chain id', 'department store chain name']","['dept_store_chain_id', 'dept_store_chain_name']","['number', 'text']","[['department stores', 'dept_store_chain_id', 'department store chain', 'dept_store_chain_id']]"
department_store,customers,Customers,customer_id,"['customer id', 'payment method code', 'customer code', 'customer name', 'customer address', 'customer phone', 'customer email']","['customer_id', 'payment_method_code', 'customer_code', 'customer_name', 'customer_address', 'customer_phone', 'customer_email']","['number', 'text', 'text', 'text', 'text', 'text', 'text']","[['customer addresses', 'customer_id', 'customers', 'customer_id'], ['customer orders', 'customer_id', 'customers', 'customer_id']]"
department_store,products,Products,product_id,"['product id', 'product type code', 'product name', 'product price']","['product_id', 'product_type_code', 'product_name', 'product_price']","['number', 'text', 'text', 'number']","[['order items', 'product_id', 'products', 'product_id'], ['product suppliers', 'product_id', 'products', 'product_id']]"
department_store,supplier addresses,Supplier_Addresses,supplier_id,"['supplier id', 'address id', 'date from', 'date to']","['supplier_id', 'address_id', 'date_from', 'date_to']","['number', 'number', 'time', 'time']","[['supplier addresses', 'supplier_id', 'suppliers', 'supplier_id'], ['product suppliers', 'supplier_id', 'suppliers', 'supplier_id']]"
department_store,customer addresses,Customer_Addresses,customer_id,"['customer id', 'address id', 'date from', 'date to']","['customer_id', 'address_id', 'date_from', 'date_to']","['number', 'number', 'time', 'time']","[['customer addresses', 'customer_id', 'customers', 'customer_id'], ['customer orders', 'customer_id', 'customers', 'customer_id']]"
department_store,customer orders,Customer_Orders,order_id,"['order id', 'customer id', 'order status code', 'order date']","['order_id', 'customer_id', 'order_status_code', 'order_date']","['number', 'number', 'text', 'time']","[['order items', 'order_id', 'customer orders', 'order_id']]"
department_store,department stores,Department_Stores,dept_store_id,"['department store id', 'department store chain id', 'store name', 'store address', 'store phone', 'store email']","['dept_store_id', 'dept_store_chain_id', 'store_name', 'store_address', 'store_phone', 'store_email']","['number', 'number', 'text', 'text', 'text', 'text']","[['departments', 'dept_store_id', 'department stores', 'dept_store_id']]"
department_store,departments,Departments,department_id,"['department id', 'department store id', 'department name']","['department_id', 'dept_store_id', 'department_name']","['number', 'number', 'text']","[['staff department assignments', 'department_id', 'departments', 'department_id']]"
department_store,order items,Order_Items,order_item_id,"['order item id', 'order id', 'product id']","['order_item_id', 'order_id', 'product_id']","['number', 'number', 'number']",[]
department_store,product suppliers,Product_Suppliers,product_id,"['product id', 'supplier id', 'date supplied from', 'date supplied to', 'total amount purchased', 'total value purchased']","['product_id', 'supplier_id', 'date_supplied_from', 'date_supplied_to', 'total_amount_purchased', 'total_value_purchased']","['number', 'number', 'time', 'time', 'text', 'number']","[['order items', 'product_id', 'products', 'product_id'], ['product suppliers', 'product_id', 'products', 'product_id']]"
department_store,staff department assignments,Staff_Department_Assignments,staff_id,"['staff id', 'department id', 'date assigned from', 'job title code', 'date assigned to']","['staff_id', 'department_id', 'date_assigned_from', 'job_title_code', 'date_assigned_to']","['number', 'number', 'time', 'text', 'time']","[['staff department assignments', 'staff_id', 'staff', 'staff_id']]"
music_4,artist,artist,Artist_ID,"['artist id', 'artist', 'age', 'famous title', 'famous release date']","['Artist_ID', 'Artist', 'Age', 'Famous_Title', 'Famous_Release_date']","['number', 'text', 'number', 'text', 'text']","[['volume', 'Artist_ID', 'artist', 'Artist_ID']]"
music_4,volume,volume,Volume_ID,"['volume id', 'volume issue', 'issue date', 'weeks on top', 'song', 'artist id']","['Volume_ID', 'Volume_Issue', 'Issue_Date', 'Weeks_on_Top', 'Song', 'Artist_ID']","['number', 'text', 'text', 'number', 'text', 'number']","[['music festival', 'Volume', 'volume', 'Volume_ID']]"
music_4,music festival,music_festival,ID,"['id', 'music festival', 'date of ceremony', 'category', 'volume', 'result']","['ID', 'Music_Festival', 'Date_of_ceremony', 'Category', 'Volume', 'Result']","['number', 'text', 'text', 'text', 'number', 'text']",[]
insurance_fnol,customers,Customers,Customer_ID,"['customer id', 'customer name']","['Customer_ID', 'Customer_name']","['number', 'text']","[['customers policies', 'Customer_ID', 'customers', 'Customer_ID'], ['first notification of loss', 'Customer_ID', 'customers policies', 'Customer_ID']]"
insurance_fnol,services,Services,Service_ID,"['service id', 'service name']","['Service_ID', 'Service_name']","['number', 'text']","[['first notification of loss', 'Service_ID', 'services', 'Service_ID']]"
insurance_fnol,available policies,Available_Policies,Policy_ID,"['policy id', 'policy type code', 'customer phone']","['Policy_ID', 'policy_type_code', 'Customer_Phone']","['number', 'text', 'text']","[['customers policies', 'Policy_ID', 'available policies', 'Policy_ID'], ['first notification of loss', 'Policy_ID', 'customers policies', 'Policy_ID']]"
insurance_fnol,customers policies,Customers_Policies,Customer_ID,"['customer id', 'policy id', 'date opened', 'date closed']","['Customer_ID', 'Policy_ID', 'Date_Opened', 'Date_Closed']","['number', 'number', 'time', 'time']","[['customers policies', 'Customer_ID', 'customers', 'Customer_ID'], ['first notification of loss', 'Customer_ID', 'customers policies', 'Customer_ID']]"
insurance_fnol,first notification of loss,First_Notification_of_Loss,FNOL_ID,"['fnol id', 'customer id', 'policy id', 'service id']","['FNOL_ID', 'Customer_ID', 'Policy_ID', 'Service_ID']","['number', 'number', 'number', 'number']","[['claims', 'FNOL_ID', 'first notification of loss', 'FNOL_ID']]"
insurance_fnol,claims,Claims,Claim_ID,"['claim id', 'fnol id', 'effective date']","['Claim_ID', 'FNOL_ID', 'Effective_Date']","['number', 'number', 'time']","[['settlements', 'Claim_ID', 'claims', 'Claim_ID']]"
insurance_fnol,settlements,Settlements,Settlement_ID,"['settlement id', 'claim id', 'effective date', 'settlement amount']","['Settlement_ID', 'Claim_ID', 'Effective_Date', 'Settlement_Amount']","['number', 'number', 'time', 'number']",[]
cinema,film,film,Film_ID,"['film id', 'rank in series', 'number in season', 'title', 'directed by', 'original air date', 'production code']","['Film_ID', 'Rank_in_series', 'Number_in_season', 'Title', 'Directed_by', 'Original_air_date', 'Production_code']","['number', 'number', 'number', 'text', 'text', 'text', 'text']","[['schedule', 'Film_ID', 'film', 'Film_ID']]"
cinema,cinema,cinema,Cinema_ID,"['cinema id', 'name', 'openning year', 'capacity', 'location']","['Cinema_ID', 'Name', 'Openning_year', 'Capacity', 'Location']","['number', 'text', 'number', 'number', 'text']","[['schedule', 'Cinema_ID', 'cinema', 'Cinema_ID']]"
cinema,schedule,schedule,Cinema_ID,"['cinema id', 'film id', 'date', 'show times per day', 'price']","['Cinema_ID', 'Film_ID', 'Date', 'Show_times_per_day', 'Price']","['number', 'number', 'text', 'number', 'number']","[['schedule', 'Cinema_ID', 'cinema', 'Cinema_ID']]"
decoration_competition,college,college,College_ID,"['college id', 'name', 'leader name', 'college location']","['College_ID', 'Name', 'Leader_Name', 'College_Location']","['number', 'text', 'text', 'text']","[['member', 'College_ID', 'college', 'College_ID']]"
decoration_competition,member,member,Member_ID,"['member id', 'name', 'country', 'college id']","['Member_ID', 'Name', 'Country', 'College_ID']","['number', 'text', 'text', 'number']","[['round', 'Member_ID', 'member', 'Member_ID']]"
