db_id,TQL,SQL,fileName,filePath,result
WorldSoccerDataBase,What are the Pinnacle odds for Arsenal winning matches?,"SELECT PSH FROM football_data WHERE HomeTeam LIKE ""%Arsenal%"" AND FTR = ""H"" UNION SELECT PSA FROM football_data WHERE AwayTeam LIKE ""%Arsenal%"" AND FTR = ""A""",WorldSoccerDataBase_fewshot.json.sqlite,WorldSoccerDataBase_fewshot.json.sqlite,Not available
WorldSoccerDataBase,Which matches in Spain did the away team win?,"SELECT * FROM football_data WHERE Country = ""Spain"" AND FTR = ""A""",WorldSoccerDataBase_fewshot.json.sqlite,WorldSoccerDataBase_fewshot.json.sqlite,Not available
WorldSoccerDataBase,Which Premier League matches ended in a draw in 2016?,"SELECT * FROM football_data WHERE Season = ""2016"" AND FTR = ""D"" AND League = ""Premier League""",WorldSoccerDataBase_fewshot.json.sqlite,WorldSoccerDataBase_fewshot.json.sqlite,Not available
WorldSoccerDataBase,Which matches had draw odds from Bet365 higher than 3?,SELECT * FROM football_data WHERE B365D > 3,WorldSoccerDataBase_fewshot.json.sqlite,WorldSoccerDataBase_fewshot.json.sqlite,Not available
WorldSoccerDataBase,What were the closing odds for a draw in matches with VfB Stuttgart?,"SELECT DRAW_CLOSING FROM betfront WHERE MATCH LIKE ""%VfB Stuttgart%""",WorldSoccerDataBase_fewshot.json.sqlite,WorldSoccerDataBase_fewshot.json.sqlite,Not available
WorldSoccerDataBase,Which games had no goals scored at full time?,SELECT * FROM football_data WHERE (FTHG + FTAG) = 0,WorldSoccerDataBase_fewshot.json.sqlite,WorldSoccerDataBase_fewshot.json.sqlite,Not available
WhatCDHipHop,what year was each specific entry released?,"SELECT groupName, groupYear FROM torrents",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,what are the entries by each specific artist/group?,"SELECT groupName, artist FROM torrents",WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,which tags exist?,SELECT DISTINCT tag FROM tags,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
WhatCDHipHop,what release types are captured in this data set?,SELECT DISTINCT releaseType FROM torrents,WhatCDHipHop_test.json.sqlite,WhatCDHipHop_test.json.sqlite,Not available
